15.03.2017,4103,180,мойка,андрей
15.03.2017,5763,180,мойка,андрей
15.03.2017,3432,1500,заправка,андрей
15.03.2017,,,"150евро, баграт нал",миша
14.03.2017,8220,,заправка дима заправлял,миша
14.03.2017,3259,1440,заправка с карты,андрей
14.03.2017,2945,180,мойка,андрей
14.03.2017,8220,220,мойка,андрей
14.03.2017,3259,260,мойка,андрей
14.03.2017,8220,,заправка,андрей
13.03.2017,,,30000бат артем нал,андрей
13.03.2017,,,200долл миша нал,андрей
13.03.2017,6829,180,мойка,миша
13.03.2017,,,300долл от артема,миша
13.03.2017,,,200долл от андрея,миша
13.03.2017,,,15000бат артем нал,миша
12.03.2017,3259,1420,заправка карта,андрей
12.03.2017,9341,730,заправка,миша
12.03.2017,,,300долл баграт дал,миша
11.03.2017,5769,200,мойка,андрей
11.03.2017,,,400бат артем нал,миша
10.03.2017,2059,180,мойка,андрей
10.03.2017,3259,1580,заправка,андрей
10.03.2017,9463,750,заправка,андрей
10.03.2017,,,50000бат артем нал,андрей
10.03.2017,5769,800,заправка,андрей
10.03.2017,,50,купил сим карту,миша
10.03.2017,,,"45000бат,300долл, артем нал",миша
09.03.2017,3827,570,заправка,андрей
09.03.2017,5756,660,заправка,андрей
09.03.2017,5406,180,мойка,миша
09.03.2017,5406,850,заправка,миша
09.03.2017,3827,180,мойка,миша
08.03.2017,,,65000бат артем нал,миша
07.03.2017,5765,20,парковка,миша
07.03.2017,5768,40,парковка,миша
07.03.2017,5768,140,мойка,миша
07.03.2017,5768,320,заправка,миша
07.03.2017,5765,520,заправка,миша
07.03.2017,1655,180,мойка,андрей
07.03.2017,1655,780,заправка,андрей
07.03.2017,7413,200,мойка,андрей
07.03.2017,1488,200,мойка,андрей
07.03.2017,5765,860,заправка,андрей
06.03.2017,3852,180,мойка,андрей
06.03.2017,1243,180,мойка,андрей
06.03.2017,3852,420,заправка наличкой,андрей
06.03.2017,5484,150,заправка,андрей
05.03.2017,5502,620,заправка нал,андрей
05.03.2017,1488,750,заправка,андрей
04.03.2017,8213,600,заправка,андрей
04.03.2017,,,34660бат артем нал,андрей
04.03.2017,8245,460,заправка,андрей
03.03.2017,5406,140,мойка,андрей
03.03.2017,8245,875.6,заправка,андрей
03.03.2017,,,100долл отдал диме,андрей
02.03.2017,9341,210,заправка,андрей
02.03.2017,9341,140,мойка,андрей
02.03.2017,8220,220,мойка,андрей
02.03.2017,8245,180,мойка,андрей
02.03.2017,3827,860,заправка,андрей
02.03.2017,3827,180,мойка,андрей
02.03.2017,8256,650,заправка,андрей
02.03.2017,4393,1150,заправка нал,андрей
02.03.2017,1625,180,мойка,андрей
01.03.2017,4166,180,мойка,андрей
28.02.2017,5402,820,заправка,андрей
28.02.2017,5402,200,мойка,андрей
28.02.2017,8213,200,мойка,андрей
28.02.2017,4166,180,мойка,андрей
27.02.2017,380,180,мойка,андрей
27.02.2017,,,5000бат баграт отдал,андрей
27.02.2017,2945,200,мойка,андрей
25.02.2017,6261,330,заправка,андрей
25.02.2017,1243,140,мойка,андрей
25.02.2017,9309,830,заправка,андрей
25.02.2017,,300,накладка на зеркало,андрей
25.02.2017,9309,200,мойка,андрей
25.02.2017,,,"10400бат,940дол,300евр,артем нал",андрей
24.02.2017,8213,180,мойка,андрей
24.02.2017,3827,180,мойка,андрей
24.02.2017,2945,600,заправка,андрей
24.02.2017,,,50000бат баграт нал,андрей
24.02.2017,4103,1010,заправка нал,андрей
24.02.2017,8663,600,заправка,андрей
24.02.2017,,520,купил клемы,андрей
23.02.2017,,120,байк,андрей
23.02.2017,1244,240,мойка,андрей
23.02.2017,7603,1250,заправка,андрей
23.02.2017,7603,260,мойка,андрей
23.02.2017,6121,860,заправка,андрей
23.02.2017,6661,50,парковка,андрей
23.02.2017,6661,340,мойка,андрей
23.02.2017,,,400долл артем нал,андрей
23.02.2017,3827,770,заправка,андрей
23.02.2017,8213,740,заправка,андрей
21.02.2017,5756,200,мойка,андрей
21.02.2017,,,10000р. артем нал,андрей
20.02.2017,,,25000бат артем нал,андрей
20.02.2017,5402,180,мойка,андрей
20.02.2017,,120,байк,андрей
20.02.2017,,130,байк,андрей
18.02.2017,5756,180,мойка,андрей
17.02.2017,1244,200,мойка,андрей
17.02.2017,8220,580,заправка,андрей
16.02.2017,8220,140,мойка,андрей
16.02.2017,4103,180,мойка,андрей
16.02.2017,4103,880,заправка,андрей
16.02.2017,4103,240,заправка,андрей
16.02.2017,8220,1090,заправка нал,андрей
15.02.2017,7709,180,мойка,андрей
15.02.2017,1775,180,мойка,андрей
15.02.2017,3105,140,мойка,андрей
15.02.2017,3105,500,заправка,андрей
15.02.2017,3105,20,подкачка колеса,андрей
12.02.2017,,120,байк,андрей
09.02.2017,9526,180,мойка,андрей
08.02.2017,,100,байк,андрей
08.02.2017,,110,байк,андрей
08.02.2017,9526,180,мойка,андрей
07.02.2017,,130,байк,андрей
07.02.2017,,,"59050бат,300долл, артем нал",андрей
06.02.2017,8247,140,мойка,андрей
05.02.2017,,300,мототакси,андрей
04.02.2017,6661,390,заправка,андрей
04.02.2017,5756,140,мойка,андрей
04.02.2017,5756,20,подкачка колеса,андрей
04.02.2017,5756,440,заправка,андрей
03.02.2017,6661,390,заправка,андрей
03.02.2017,5756,140,мойка,андрей
03.02.2017,7386,250,мойка,андрей
03.02.2017,7386,460,заправка,андрей
03.02.2017,,,"5000бат,500бат артем нал",андрей
03.02.2017,3165,180,мойка,андрей
03.02.2017,5756,20,подкачка колеса,андрей
02.02.2017,7386,250,мойка,андрей
02.02.2017,5484,360,заправка,андрей
02.02.2017,5402,620,заправка,андрей
02.02.2017,,,140долл артем нал,андрей
02.02.2017,8231,180,мойка,андрей
31.01.2017,6661,140,мойка,андрей
31.01.2017,6661,850,заправка,андрей
31.1,5402,200,мойка,андрей
31.01.2017,9447,200,мойка,андрей
31.01.2017,,,"47090бат,600долл, дима нал",андрей
30.01.2017,9463,250,мойка,андрей
30.01.2017,6829,600,заправка,андрей
29.01.2017,7347,200,мойка,андрей
29.01.2017,4067,200,мойка,андрей
29.01.2017,385,400,заправка,андрей
29.01.2017,7387,400,заправка,андрей
29.01.2017,8245,200,мойка,андрей
